roman,burmese,rank,source
khon,ခွန်,70,forward
khoon,ခွန်း,70,forward
khote,ခုပ်,70,forward
khu,ခူ,70,forward
khue,ခူး,70,forward
khun,ခွန်,70,forward
khunn,ခွန်း,70,forward
khuu,ခူး,70,forward
khwan,ခွမ်,70,forward
khwar,ခွာ,70,forward
khwarl,ခွါလ်,70,forward
khway,ခွေ,70,forward
ki,ကီ,70,forward
kie,ကီ,70,forward
kim,ကင်းမ်,70,forward
kin,ကင်း,70,forward
kine,ကိုင်,70,forward
kinsa,ကဉ္စ,70,forward
kiss,ကစ္စ,70,forward
kit,ကစ်,70,forward
kite,ကိုက်,70,forward
ko,ကို,70,forward
koe,ကိုး,70,forward
koke,ခုပ်,70,forward
kol,ကိုလ်,70,forward
kon,ကွန်,70,forward
kone,ကုန်,70,forward
koon,ကွန်း,70,forward
kount,ကွန့်,70,forward
ku,ကူ,70,forward
kue,ကူး,70,forward
kuma,ကုမ္မာ,70,forward
kun,ကွန်,70,forward
kunn,ကွန်း,70,forward
kuu,ကူး,70,forward
kwa,ကွ,70,forward
kwak,ကွက်,70,forward
kwal,ကွဲ,70,forward
kwam,ကွမ်,70,forward
kwan,ကွမ်း,70,forward
kwap,ကွပ်,70,forward
kwar,ကွာ,70,forward
kway,ကွေး,70,forward
kwaye,ကွေ့,70,forward
kwe,ကွီ,70,forward
kwee,ကွီး,70,forward
kwi,ကွီ,70,forward
kwiz,ကွိဇ်,70,forward
kwun,ကွမ်း,70,forward
kwut,ကွတ်,70,forward
ky,ကီ,70,forward
kya,ကျ,70,forward
kyae,ကျဲ,70,forward
kyai,ကျေ,70,forward
kyaik,ကြိုက်,70,forward
kyain,ကျိန်,70,forward
kyaine,ကျိုင်း,70,forward
kyaing,ကြိုင်,70,forward
kyak,ကျက်,70,forward
kyal,ကြယ်,70,forward
kyan,ကျန်,70,forward
kyane,ကျိန်း,70,forward
kyant,ကြံ့,70,forward
kyar,ကြာ,70,forward
kyauk,ကျောက်,70,forward
kyaung,ကျောင်,70,forward
kyaw,ကျော်,70,forward
kyawal,ကျွဲ,70,forward
kyawt,ကျော့,70,forward
kyay,ကြေး,70,forward
kye,ကျေ,70,forward
kyee,ကြီး,70,forward
kyeim,ကျိမ်,70,forward
kyein,ကျိန်,70,forward
kyi,ကြည်,70,forward
kyin,ကျင်,70,forward
kyine,ကြိုင်,70,forward
kyint,ကျင့်,70,forward
kyit,ကျစ်,70,forward
kyo,ကျို,70,forward
kyoe,ကျိုး,70,forward
kyoke,ကြုတ်,70,forward
kyon,ကျုံ,70,forward
kyone,ကျုံး,70,forward
kyu,ကြူ,70,forward
kyue,ကြူး,70,forward
