roman,burmese,rank,source
kyun,ကျွန်း,70,forward
kyuu,ကျူး,70,forward
kywa,ကြွ,70,forward
kywae,ကြွေ,70,forward
kywal,ကြွယ်,70,forward
kywan,ကျွမ်း,70,forward
kywat,ကြွက်,70,forward
kyway,ကြွေ,70,forward
kywe,ကြွယ်,70,forward
kywel,ကြွယ်,70,forward
kywon,ကျွံ,70,forward
kywun,ကျွန်,70,forward
l,အယ်,70,forward
la,လ,70,forward
lad,လဒ်,70,forward
lae,လဲ့,70,forward
lai,လဲ့,70,forward
lain,လိန်း,70,forward
laing,လိုင်,70,forward
lainmar,လိမ္မာ,70,forward
lainn,လိန်း,70,forward
lak,လက်,70,forward
lakyar,လက်ျာ,70,forward
lal,လဲ,70,forward
lan,လမ်း,70,forward
lane,လိန်း,70,forward
lann,လမ်း,70,forward
lant,လမ့်,70,forward
lao,လောင်ဝ်,70,forward
lap,လပ်,70,forward
lar,လာ,70,forward
larb,လာဘ်,70,forward
lard,လာဒ်,70,forward
larl,လာလ်,70,forward
larm,လာမ်,70,forward
lat,လပ်,70,forward
latt,လတ်,70,forward
laud,လောဒ်,70,forward
laung,လောင်ဝ်,70,forward
law,လော,70,forward
lay,လေး,70,forward
layan,လျန်း,70,forward
layar,လျာ,70,forward
layawt,လျော့,70,forward
layin,လျင်,70,forward
layint,လျင့်,70,forward
le,လက်,70,forward
lei,လဲ့,70,forward
leik,လိတ်,70,forward
lein,လိန်း,70,forward
leinn,လိန်း,70,forward
lekkha,လက္ခ,70,forward
let,လက်,70,forward
lett,လက်,70,forward
lex,လက်စ်,70,forward
lhay,လှေ,70,forward
lhayap,လျှပ်,70,forward
lhayat,လျှပ်,70,forward
lhee,လှီး,70,forward
lhwan,လွှမ်း,70,forward
lhwar,လွှာ,70,forward
lhyap,လျှပ်,70,forward
lhyar,လျှား,70,forward
lhyat,လျှပ်,70,forward
li,လီ,70,forward
lie,လီ,70,forward
lin,လင်း,70,forward
line,လိုင်း,70,forward
linkar,လင်္ကာ,70,forward
linn,လင်း,70,forward
lips,လစ်,70,forward
lis,လဲစ်,70,forward
lo,လို,70,forward
loe,လို့,70,forward
loie,လွိုင်း,70,forward
lon,လွန်,70,forward
lone,လုံး,70,forward
loon,လွန်း,70,forward
lor,လာ,70,forward
los,လော့,70,forward
lote,လုတ်,70,forward
loung,လောင်ဝ်,70,forward
lu,လူ,70,forward
lue,လူး,70,forward
lum,လမ်,70,forward
lun,လွန်,70,forward
lunn,လွန်း,70,forward
luu,လူး,70,forward
lwai,လွေ,70,forward
lwal,လွယ်,70,forward
lwan,လွမ်း,70,forward
lwant,လွမ့်,70,forward
lwar,လွှာ,70,forward
lway,လွေ,70,forward
lwi,လွီ,70,forward
lwin,လွင်,70,forward
ly,လိုင်,70,forward
lyan,လျန်း,70,forward
lyar,လျာ,70,forward
lyawt,လျော့,70,forward
lyin,လျင်,70,forward
lyint,လျင့်,70,forward
lynn,လင်း,70,forward
lyo,လျို,70,forward
m,အမ်,70,forward
ma,မ,70,forward
mae,မဲ့,70,forward
maen,မဲန်း,70,forward
mahn,မာန်,70,forward
mai,မိုင်,70,forward
maik,မိုက်,70,forward
mail,မဲလ်,70,forward
main,မိန်,70,forward
mak,မက်,70,forward
mal,မယ်,70,forward
man,မာန်,70,forward
mann,မာန်,70,forward
mant,မန့်,70,forward
mar,မာ,70,forward
mark,မာ့,70,forward
marn,မာန်,70,forward
mas,မတ်,70,forward
mat,မက်,70,forward
matt,မတ်,70,forward
mauk,မောက်,70,forward
maung,မောင်,70,forward
maut,မောက်,70,forward
maw,မော်,70,forward
may,မေ,70,forward
me,မီ,70,forward
mee,မီး,70,forward
met,မက်,70,forward
mg,မောင်,70,forward
mhaine,မှိုင်,70,forward
mhan,မှန်,70,forward
mhat,မှတ်,70,forward
mhaung,မှောင်,70,forward
mhe,မှီ,70,forward
mhi,မှီ,70,forward
mhine,မှိုင်,70,forward
mhone,မှုံ,70,forward
mhoo,မှူး,70,forward
mhooe,မှူး,70,forward
mhoon,မွှန်း,70,forward
mhu,မှု,70,forward
mhue,မှူး,70,forward
mhuu,မှူး,70,forward
mhway,မွှေး,70,forward
mhwe,မွှေး,70,forward
mhyaung,မြှောင်,70,forward
mhyaw,မျှော်,70,forward
mi,မီ,70,forward
mic,မစ်,70,forward
mie,မီ,70,forward
mike,မိုက်,70,forward
mile,မိုင်း,70,forward
min,မင်း,70,forward
mine,မိုင်,70,forward
minga,မင်္ဂ,70,forward
minn,မင်း,70,forward
mo,မို,70,forward
moe,မိုး,70,forward
moet,မို့,70,forward
moh,မို့,70,forward
moht,မို့,70,forward
moi,မွိုင်,70,forward
moke,မုခ်,70,forward
mon,မွန်,70,forward
mone,မုံ,70,forward
moon,မွန်း,70,forward
moung,မောင်း,70,forward
mu,မူ,70,forward
mue,မူး,70,forward
mular,မူလ္လာ,70,forward
muu,မူး,70,forward
mwae,မွေ့,70,forward
mwan,မွမ်း,70,forward
mway,မွေး,70,forward
mwe,မွေး,70,forward
mwin,မွင်း,70,forward
